,CNN,ViT
Accuracy,0.5612244897959183,0.6887755102040817
Precision,0.5388888888888889,0.7407407407407407
Recall,0.97,0.6
F1 Score,0.6928571428571428,0.6629834254143646
ROC AUC,0.6930208333333333,0.7404166666666667
PR AUC,0.6875592126265266,0.7574942397811226
